Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",1,Monika,"Lukášová Spilková",Mgr.,35,"předsedkyně kontrolního výboru ZMČ Brno-střed a provozovatelka vinárny","Česká pirátská strana","Česká pirátská strana"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",2,Petr,Springinsfeld,,24,"zastupitel Jihomoravského kraje, student a herní vývojář","Česká pirátská strana","Česká pirátská strana"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",3,David,Oplatek,Mgr.,43,"sociální pracovník, zastupitel MČ Brno-střed","Strana zelených","Strana zelených"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",4,Gabriel,Kurtis,"Ing. arch.",38,"architekt, urbanista a kurátor, zastupitel MČ Brno-střed","""Žít Brno""","""Žít Brno"""
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",5,Filip,Havlíček,PhDr.,36,"tajemník Zastupitelského klubu Pirátů v JmK","Česká pirátská strana","Česká pirátská strana"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",6,Petr,Kalousek,BcA.,42,"ředitel festivalu Meeting Brno, hudebník","""Žít Brno""","""Žít Brno"""
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",7,Pavla,Lukešová,Mgr.,36,"kulturní manažerka, zastupitelka MČ Brno-střed","Strana zelených","Strana zelených"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",8,Martin,Reiner,,58,nakladatel,"""Žít Brno""","""Žít Brno"""
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",9,Jiří,Pertl,,41,"manažer, zastupitel MČ Brno-střed, bocman","Česká pirátská strana","Česká pirátská strana"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",10,Jasna,Flamiková,Mgr.,53,"koučka, ekoložka, zastupitelka MČ Brno-střed","Strana zelených","Strana zelených"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",11,Radim,Horák,"Ing. arch.",41,"architekt, zastupitel MČ Brno-střed","""Žít Brno""","""Žít Brno"""
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",12,Lenka,Brodzáková,Mgr.,39,"výkonná ředitelka, členka bytové komise MČ Brno-střed","Česká pirátská strana","Česká pirátská strana"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",13,Tomáš,Psota,Ing.,37,"ředitel Krajské hospodářské komory jižní Moravy","Česká pirátská strana","Česká pirátská strana"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",14,Kristýna,Fuchsová,JUDr.,48,"právnička, členka bytové komise Brno-střed","Strana zelených","Bez politické příslušnosti"
Brno-město,Brno-střed,"Piráti, Zelení a Žít Brno",15,Tereza,Pazdírková,Mgr.,34,"MICE manager junior, Brno Convention Bureau","Česká pirátská strana","Česká pirátská strana"
